yr,max,mean,min
1982,28.89396,28.2375975,27.32009
1983,30.45143,29.27346417,27.73696
1984,28.70088,27.56408,26.20069
1985,28.16248,26.70533,24.55408
1986,28.53447,27.32701167,25.19097
1987,29.54486,28.29898,25.93281
1988,28.50438,27.25735083,26.1282
1989,28.11111,26.90495333,24.05107
1990,29.23152,28.0391325,26.75387
1991,28.97276,28.1318775,27.20286
1992,29.57172,28.31530667,26.86221
1993,29.59691,28.155935,27.01267
1994,28.46613,27.66673333,26.39505
1995,29.04502,27.98317833,26.70858
1996,28.16124,27.31319,26.27527
1997,29.62383,28.530705,26.50005
1998,30.03552,28.74066,26.58926
1999,28.30406,27.1809075,25.95521
2000,28.93336,27.58377083,25.51558
2001,28.61774,27.49847917,25.45572
2002,28.54825,27.9744075,26.71821
2003,29.44515,28.41442083,27.55922
2004,28.84876,27.8836325,26.72922
2005,29.582,28.14474667,26.60618
2006,29.16176,28.00547417,26.17822
2007,28.82456,27.9243875,26.60548
2008,29.11281,27.94181417,26.4659
2009,29.20828,27.86512833,25.43505
2010,29.3958,28.2777725,26.20885
2011,29.18786,27.82871333,25.91313
2012,29.74249,28.0898275,25.58552
2013,28.46129,27.71923,26.18387
2014,29.32175,28.2075375,27.01355
2015,29.77351,28.67756083,26.66765
2016,29.52672,28.5238,26.88534
2017,30.16648,28.164785,26.35627
2018,29.42371,28.05429833,25.9883