monthyear,SST
Nov-81,27.08738
Dec-81,27.10889
Jan-82,27.32009
Feb-82,27.4025
Mar-82,27.70152
Apr-82,27.92567
May-82,28.38272
Jun-82,28.4991
Jul-82,28.5876
Aug-82,28.64046
Sep-82,28.89396
Oct-82,28.66249
Nov-82,28.58543
Dec-82,28.24963
Jan-83,28.49604
Feb-83,28.96301
Mar-83,29.42816
Apr-83,29.96781
May-83,30.41793
Jun-83,30.45143
Jul-83,30.02134
Aug-83,29.63355
Sep-83,28.90415
Oct-83,28.82405
Nov-83,28.43714
Dec-83,27.73696
Jan-84,26.71106
Feb-84,26.30103
Mar-84,27.38152
Apr-84,28.33524
May-84,28.70088
Jun-84,28.4522
Jul-84,27.92516
Aug-84,27.70544
Sep-84,28.11705
Oct-84,27.95936
Nov-84,26.97933
Dec-84,26.20069
Jan-85,24.95313
Feb-85,24.55408
Mar-85,24.83894
Apr-85,26.24491
May-85,27.80286
Jun-85,28.16248
Jul-85,27.6564
Aug-85,27.24101
Sep-85,27.85162
Oct-85,27.72074
Nov-85,26.91562
Dec-85,26.52217
Jan-86,26.1623
Feb-86,25.79781
Mar-86,25.19097
Apr-86,26.59848
May-86,28.46028
Jun-86,28.04186
Jul-86,28.30696
Aug-86,28.53447
Sep-86,28.15486
Oct-86,27.84465
Nov-86,27.77367
Dec-86,27.05783
Jan-87,25.93281
Feb-87,26.17001
Mar-87,28.30018
Apr-87,28.29029
May-87,29.06277
Jun-87,29.54486
Jul-87,29.20839
Aug-87,28.6659
Sep-87,29.11457
Oct-87,28.69369
Nov-87,28.49876
Dec-87,28.10553
Jan-88,27.18309
Feb-88,26.26739
Mar-88,26.68986
Apr-88,27.41333
May-88,28.50438
Jun-88,27.78334
Jul-88,27.61562
Aug-88,27.47313
Sep-88,27.34315
Oct-88,27.36258
Nov-88,27.32414
Dec-88,26.1282
Jan-89,25.34392
Feb-89,24.05107
Mar-89,24.34806
Apr-89,26.37829
May-89,28.0276
Jun-89,28.09291
Jul-89,27.92783
Aug-89,28.11111
Sep-89,28.099
Oct-89,27.94557
Nov-89,27.45943
Dec-89,27.07465
Jan-90,26.75387
Feb-90,27.09143
Mar-90,27.12599
Apr-90,28.36891
May-90,29.21903
Jun-90,29.23152
Jul-90,28.60747
Aug-90,28.59226
Sep-90,28.61943
Oct-90,27.99249
Nov-90,27.77153
Dec-90,27.09566
Jan-91,27.20286
Feb-91,27.21184
Mar-91,27.81502
Apr-91,28.77343
May-91,28.83217
Jun-91,28.97276
Jul-91,28.61032
Aug-91,28.53087
Sep-91,28.38414
Oct-91,27.91087
Nov-91,27.76429
Dec-91,27.57396
Jan-92,27.50497
Feb-92,28.07108
Mar-92,28.1424
Apr-92,28.91491
May-92,29.02521
Jun-92,29.57172
Jul-92,28.67489
Aug-92,28.49332
Sep-92,28.32286
Oct-92,28.1053
Nov-92,28.09481
Dec-92,26.86221
Jan-93,27.01267
Feb-93,27.15158
Mar-93,27.09341
Apr-93,28.71995
May-93,29.59691
Jun-93,29.25458
Jul-93,28.76345
Aug-93,28.37944
Sep-93,28.20348
Oct-93,28.57295
Nov-93,27.66848
Dec-93,27.45432
Jan-94,26.91452
Feb-94,26.39505
Mar-94,26.56603
Apr-94,27.37224
May-94,28.46613
Jun-94,28.25505
Jul-94,28.19175
Aug-94,28.17788
Sep-94,28.40943
Oct-94,28.12889
Nov-94,27.52872
Dec-94,27.59511
Jan-95,26.95876
Feb-95,26.70858
Mar-95,27.69728
Apr-95,28.46962
May-95,29.04502
Jun-95,28.9431
Jul-95,28.3942
Aug-95,28.25751
Sep-95,28.24786
Oct-95,27.93382
Nov-95,27.59548
Dec-95,27.54691
Jan-96,26.70553
Feb-96,26.27527
Mar-96,27.27617
Apr-96,27.89119
May-96,27.76852
Jun-96,27.929
Jul-96,27.41889
Aug-96,27.59788
Sep-96,28.16124
Oct-96,27.32982
Nov-96,27.04357
Dec-96,26.3612
Jan-97,26.5459
Feb-97,26.50005
Mar-97,26.98977
Apr-97,28.5951
May-97,29.16899
Jun-97,29.34867
Jul-97,29.29811
Aug-97,29.62383
Sep-97,29.51872
Oct-97,29.39037
Nov-97,28.72877
Dec-97,28.66018
Jan-98,28.59028
Feb-98,28.91419
Mar-98,28.76207
Apr-98,29.37234
May-98,29.61078
Jun-98,30.03552
Jul-98,29.21793
Aug-98,29.0647
Sep-98,29.06029
Oct-98,28.26585
Nov-98,27.40471
Dec-98,26.58926
Jan-99,26.69847
Feb-99,26.1198
Mar-99,26.67171
Apr-99,26.6601
May-99,28.15626
Jun-99,28.2051
Jul-99,27.89433
Aug-99,28.30406
Sep-99,27.77867
Oct-99,26.93437
Nov-99,26.79281
Dec-99,25.95521
Jan-00,25.51558
Feb-00,25.60192
Mar-00,26.10254
Apr-00,27.31091
May-00,28.93336
Jun-00,28.86867
Jul-00,28.60682
Aug-00,28.36544
Sep-00,28.205
Oct-00,28.18903
Nov-00,27.9199
Dec-00,27.38608
Jan-01,26.77595
Feb-01,25.45572
Mar-01,26.55378
Apr-01,27.41776
May-01,28.48885
Jun-01,28.60877
Jul-01,28.14783
Aug-01,28.61774
Sep-01,28.29995
Oct-01,27.81876
Nov-01,27.016
Dec-01,26.78064
Jan-02,26.83848
Feb-02,26.71821
Mar-02,27.28958
Apr-02,28.01333
May-02,28.34636
Jun-02,28.53399
Jul-02,28.40622
Aug-02,28.48783
Sep-02,28.49981
Oct-02,28.54825
Nov-02,28.08867
Dec-02,27.92216
Jan-03,27.82912
Feb-03,27.76102
Mar-03,28.39497
Apr-03,28.88581
May-03,29.35867
Jun-03,29.44515
Jul-03,28.55087
Aug-03,28.7659
Sep-03,28.70324
Oct-03,27.86198
Nov-03,27.8571
Dec-03,27.55922
Jan-04,27.55221
Feb-04,27.16261
Mar-04,26.72922
Apr-04,27.79238
May-04,27.85553
Jun-04,28.52357
Jul-04,28.18383
Aug-04,28.84876
Sep-04,28.591
Oct-04,28.32189
Nov-04,27.75872
Dec-04,27.28387
Jan-05,26.91701
Feb-05,26.60618
Mar-05,28.18193
Apr-05,28.72181
May-05,29.00981
Jun-05,29.582
Jul-05,29.11548
Aug-05,28.92742
Sep-05,28.60515
Oct-05,27.60512
Nov-05,27.30957
Dec-05,27.15548
Jan-06,26.71936
Feb-06,26.17822
Mar-06,26.48931
Apr-06,27.93329
May-06,28.82429
Jun-06,28.39486
Jul-06,28.66
Aug-06,28.9335
Sep-06,29.16176
Oct-06,28.81235
Nov-06,28.29276
Dec-06,27.66599
Jan-07,27.4765
Feb-07,27.32071
Mar-07,27.52465
Apr-07,28.6751
May-07,28.52498
Jun-07,28.40043
Jul-07,28.17373
Aug-07,28.82456
Sep-07,28.1171
Oct-07,27.98212
Nov-07,27.46729
Dec-07,26.60548
Jan-08,26.4659
Feb-08,27.18867
Mar-08,27.49797
Apr-08,28.411
May-08,29.08364
Jun-08,28.68015
Jul-08,28.70134
Aug-08,29.11281
Sep-08,28.74314
Oct-08,27.62069
Nov-08,27.28176
Dec-08,26.5147
Jan-09,26.20373
Feb-09,25.43505
Mar-09,25.66815
Apr-09,27.51376
May-09,28.48576
Jun-09,29.20828
Jul-09,28.91853
Aug-09,28.87825
Sep-09,28.962
Oct-09,28.73171
Nov-09,28.08748
Dec-09,28.28884
Jan-10,28.04341
Feb-10,28.39669
Mar-10,28.59567
Apr-10,29.38438
May-10,29.3958
Jun-10,28.52762
Jul-10,28.63926
Aug-10,28.4088
Sep-10,28.43933
Oct-10,28.19608
Nov-10,27.09738
Dec-10,26.20885
Jan-11,25.91313
Feb-11,26.23031
Mar-11,26.63516
Apr-11,28.23076
May-11,28.96604
Jun-11,28.84171
Jul-11,28.64014
Aug-11,29.00368
Sep-11,29.18786
Oct-11,27.9883
Nov-11,27.3159
Dec-11,26.99157
Jan-12,26.53359
Feb-12,25.58552
Mar-12,25.7159
Apr-12,28.15629
May-12,29.74249
Jun-12,29.74015
Jul-12,29.08539
Aug-12,29.02825
Sep-12,29.34214
Oct-12,29.0429
Nov-12,27.719
Dec-12,27.38631
Jan-13,27.19327
Feb-13,26.97515
Mar-13,26.18387
Apr-13,27.98362
May-13,28.27304
Jun-13,27.833
Jul-13,27.90406
Aug-13,27.89981
Sep-13,28.38129
Oct-13,28.46129
Nov-13,28.02595
Dec-13,27.51641
Jan-14,27.01355
Feb-14,27.11781
Mar-14,27.08765
Apr-14,27.74914
May-14,29.32175
Jun-14,28.95138
Jul-14,28.88793
Aug-14,29.06746
Sep-14,29.1489
Oct-14,28.5147
Nov-14,28.01138
Dec-14,27.6188
Jan-15,27.56331
Feb-15,26.78214
Mar-15,26.66765
Apr-15,27.74924
May-15,29.20152
Jun-15,29.40986
Jul-15,29.54323
Aug-15,29.17663
Sep-15,29.60648
Oct-15,29.77351
Nov-15,29.25352
Dec-15,29.40364
Jan-16,29.09995
Feb-16,27.51857
Mar-16,28.12374
Apr-16,29.07081
May-16,29.44599
Jun-16,29.52672
Jul-16,28.75032
Aug-16,28.47963
Sep-16,28.96719
Oct-16,28.56424
Nov-16,27.8531
Dec-16,26.88534
Jan-17,26.35627
Feb-17,26.65821
Mar-17,27.17751
Apr-17,28.55324
May-17,29.15387
Jun-17,29.16343
Jul-17,28.54733
Aug-17,28.91811
Sep-17,30.16648
Oct-17,28.49434
Nov-17,28.05891
Dec-17,26.72972
Jan-18,26.49843
Feb-18,26.39893
Mar-18,25.9883
Apr-18,27.87472
May-18,28.92991
Jun-18,29.26629
Jul-18,29.10631
Aug-18,28.88392
Sep-18,29.42371
Oct-18,28.17475
Nov-18,28.14553
Dec-18,27.96078
Jan-19,27.50097
Feb-19,26.93164
Mar-19,26.69502
Apr-19,28.29095
May-19,28.99433
Jun-19,29.25681
Jul-19,28.95843
Aug-19,29.21475
Sep-19,29.22548
Oct-19,28.86318
Nov-19,28.41196
Dec-19,28.19295
Jan-20,28.04396
Feb-20,28.10345
Mar-20,27.72701
Apr-20,28.20434
May-20,29.30515
Jun-20,28.89667
Jul-20,28.7612
Aug-20,28.60267
Sep-20,28.46567
Oct-20,28.45148